[Decode Mode] Current Length of sequences is modified into input_len
Using synthesis trace
ACT: 0.844055GB, Weight: 7.47876GB, Cache: 16.1406GB
Total: 24.4634GB
-----------------------------------
-------------start-----------------
-----------------------------------
Total: 2768942.208000
./data/exp3_2bit_gpu//llama3_8B_synthesis_16400_128_GPU_N1_D4_TP1_DP4_maxbatch64_maxprocess524288_iter1_skew0_precision_byte1_parallel_execution0_ramul_decode.csv
LLM | 2768.9us  | 0 - 2768.9 | tensor(1, 128256) -> tensor(16, 128256) | ACT: 21.103mJ  | RD: 435.97mJ  | WR: 0.8175mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 67.28mJ  | Total: 457.89mJ | compute util: 0, memory util: 0, Op/B 18.329 | qk=1545.9us softmax=0us score_v=0us kv_quant=0us
		feedforward | 30.372us  | 1440.6 - 1471 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.22526mJ  | RD: 4.9278mJ  | WR: 0.020985mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 1.2965mJ  | Total: 5.174mJ | compute util: 0, memory util: 0, Op/B 31.717
			gate_proj | 10.134us  | 1440.6 - 1450.7 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.134us  | 1440.6 - 1450.7 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0.052977, memory util: 0.72794, Op/B 31.84, GPU
			activation | 0.134us  | 1450.7 - 1450.9 | tensor(16, 14336) -> tensor(16, 14336) | ACT: 0mJ  | RD: 0.012773mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0.01916mJ | compute util: 0, memory util: 0.64191, Op/B 0, GPU
			up_proj | 10.134us  | 1450.9 - 1461 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.134us  | 1450.9 - 1461 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0.052977, memory util: 0.72794, Op/B 31.84, GPU
			down_proj | 9.9705us  | 1461 - 1471 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.070742mJ  | RD: 1.6414mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7139mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 9.9705us  | 1461 - 1471 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.070742mJ  | RD: 1.6414mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7139mJ | compute util: 0.053846, memory util: 0.73987, Op/B 31.84, GPU
		all_reduce | 0us  | 1471 - 1471 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.024576us  | 1471 - 1471 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
	decoder_17 | 86.529us  | 1471 - 1557.5 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.65948mJ  | RD: 13.624mJ  | WR: 0.025547mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 2.1025mJ  | Total: 14.309mJ | compute util: 0, memory util: 0, Op/B 18.329 | qk=48.309us softmax=0us score_v=0us kv_quant=0us
		input_layer_norm | 0.016896us  | 1471 - 1471 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		attention | 56.074us  | 1471 - 1527.1 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.43423mJ  | RD: 8.6964mJ  | WR: 0.0045619mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.80597mJ  | Total: 9.1352mJ | compute util: 0, memory util: 0, Op/B 10.916 | qk=48.309us softmax=0us score_v=0us kv_quant=0us
			attn_qkv_proj | 4.5915us  | 1471 - 1475.6 | tensor(16, 4096) -> tensor(16, 6144) | ACT: 0.039094mJ  | RD: 0.70254mJ  | WR: 0.0027372mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.18522mJ  | Total: 0.74437mJ | compute util: 0, memory util: 0, Op/B 31.793
				Linear | 4.5915us  | 1471 - 1475.6 | tensor(16, 4096) -> tensor(16, 6144) | ACT: 0.039094mJ  | RD: 0.70254mJ  | WR: 0.0027372mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.18522mJ  | Total: 0.74437mJ | compute util: 0.050112, memory util: 0.68958, Op/B 31.793, GPU
			self_attention | 47.691us  | 1475.6 - 1523.3 | tensor(16, 6144) -> tensor(16, 4096) | ACT: 0.34673mJ  | RD: 7.5249mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.49727mJ  | Total: 7.8716mJ | compute util: 0, memory util: 0, Op/B 7.7558 | qk=48.309us softmax=0us score_v=0us kv_quant=0us
				AttentionSplit | 0us  | 1475.6 - 1475.6 | tensor(16, 6144) -> tensor(0, 6144) tensor(16, 6144) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
				AttentionSum | 0us  | 1475.6 - 1475.6 | tensor(0, 6144) -> tensor(0, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0, GPU
				AttentionGen | 47.691us  | 1475.6 - 1523.3 | tensor(16, 6144) -> tensor(16, 4096) | ACT: 0.34673mJ  | RD: 7.5249mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.49727mJ  | Total: 7.8716mJ | compute util: 0.012952, memory util: 0.73065, Op/B 7.7558, GPU | qk=48.309us softmax=0us score_v=0us kv_quant=0us
				AttentionMerge | 0us  | 1523.3 - 1523.3 | tensor(0, 4096) tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
			attn_o_proj | 3.791us  | 1523.3 - 1527.1 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.048402mJ  | RD: 0.46897mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.12348mJ  | Total: 0.51919mJ | compute util: 0, memory util: 0, Op/B 31.752
				Linear | 3.791us  | 1523.3 - 1527.1 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.048402mJ  | RD: 0.46897mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.12348mJ  | Total: 0.51919mJ | compute util: 0.040462, memory util: 0.55751, Op/B 31.752, GPU
			all_reduce | 0us  | 1527.1 - 1527.1 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.024576us  | 1527.1 - 1527.1 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		post_attn_layer_norm | 0.016896us  | 1527.1 - 1527.1 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		feedforward | 30.372us  | 1527.1 - 1557.5 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.22526mJ  | RD: 4.9278mJ  | WR: 0.020985mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 1.2965mJ  | Total: 5.174mJ | compute util: 0, memory util: 0, Op/B 31.717
			gate_proj | 10.134us  | 1527.1 - 1537.3 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.134us  | 1527.1 - 1537.3 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0.052977, memory util: 0.72794, Op/B 31.84, GPU
			activation | 0.134us  | 1537.3 - 1537.4 | tensor(16, 14336) -> tensor(16, 14336) | ACT: 0mJ  | RD: 0.012773mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0.01916mJ | compute util: 0, memory util: 0.64191, Op/B 0, GPU
			up_proj | 10.134us  | 1537.4 - 1547.5 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.134us  | 1537.4 - 1547.5 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0.052977, memory util: 0.72794, Op/B 31.84, GPU
			down_proj | 9.9705us  | 1547.5 - 1557.5 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.070742mJ  | RD: 1.6414mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7139mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 9.9705us  | 1547.5 - 1557.5 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.070742mJ  | RD: 1.6414mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7139mJ | compute util: 0.053846, memory util: 0.73987, Op/B 31.84, GPU
		all_reduce | 0us  | 1557.5 - 1557.5 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.024576us  | 1557.5 - 1557.5 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
	decoder_18 | 86.529us  | 1557.5 - 1644.1 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.65948mJ  | RD: 13.624mJ  | WR: 0.025547mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 2.1025mJ  | Total: 14.309mJ | compute util: 0, memory util: 0, Op/B 18.329 | qk=48.309us softmax=0us score_v=0us kv_quant=0us
		input_layer_norm | 0.016896us  | 1557.5 - 1557.5 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		attention | 56.074us  | 1557.5 - 1613.6 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.43423mJ  | RD: 8.6964mJ  | WR: 0.0045619mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.80597mJ  | Total: 9.1352mJ | compute util: 0, memory util: 0, Op/B 10.916 | qk=48.309us softmax=0us score_v=0us kv_quant=0us
			attn_qkv_proj | 4.5915us  | 1557.5 - 1562.1 | tensor(16, 4096) -> tensor(16, 6144) | ACT: 0.039094mJ  | RD: 0.70254mJ  | WR: 0.0027372mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.18522mJ  | Total: 0.74437mJ | compute util: 0, memory util: 0, Op/B 31.793
				Linear | 4.5915us  | 1557.5 - 1562.1 | tensor(16, 4096) -> tensor(16, 6144) | ACT: 0.039094mJ  | RD: 0.70254mJ  | WR: 0.0027372mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.18522mJ  | Total: 0.74437mJ | compute util: 0.050112, memory util: 0.68958, Op/B 31.793, GPU
			self_attention | 47.691us  | 1562.1 - 1609.8 | tensor(16, 6144) -> tensor(16, 4096) | ACT: 0.34673mJ  | RD: 7.5249mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.49727mJ  | Total: 7.8716mJ | compute util: 0, memory util: 0, Op/B 7.7558 | qk=48.309us softmax=0us score_v=0us kv_quant=0us
				AttentionSplit | 0us  | 1562.1 - 1562.1 | tensor(16, 6144) -> tensor(0, 6144) tensor(16, 6144) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
				AttentionSum | 0us  | 1562.1 - 1562.1 | tensor(0, 6144) -> tensor(0, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0, GPU
				AttentionGen | 47.691us  | 1562.1 - 1609.8 | tensor(16, 6144) -> tensor(16, 4096) | ACT: 0.34673mJ  | RD: 7.5249mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.49727mJ  | Total: 7.8716mJ | compute util: 0.012952, memory util: 0.73065, Op/B 7.7558, GPU | qk=48.309us softmax=0us score_v=0us kv_quant=0us
				AttentionMerge | 0us  | 1609.8 - 1609.8 | tensor(0, 4096) tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
			attn_o_proj | 3.791us  | 1609.8 - 1613.6 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.048402mJ  | RD: 0.46897mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.12348mJ  | Total: 0.51919mJ | compute util: 0, memory util: 0, Op/B 31.752
				Linear | 3.791us  | 1609.8 - 1613.6 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.048402mJ  | RD: 0.46897mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.12348mJ  | Total: 0.51919mJ | compute util: 0.040462, memory util: 0.55751, Op/B 31.752, GPU
			all_reduce | 0us  | 1613.6 - 1613.6 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.024576us  | 1613.6 - 1613.6 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		post_attn_layer_norm | 0.016896us  | 1613.6 - 1613.7 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		feedforward | 30.372us  | 1613.7 - 1644 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.22526mJ  | RD: 4.9278mJ  | WR: 0.020985mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 1.2965mJ  | Total: 5.174mJ | compute util: 0, memory util: 0, Op/B 31.717
			gate_proj | 10.134us  | 1613.7 - 1623.8 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.134us  | 1613.7 - 1623.8 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0.052977, memory util: 0.72794, Op/B 31.84, GPU
			activation | 0.134us  | 1623.8 - 1623.9 | tensor(16, 14336) -> tensor(16, 14336) | ACT: 0mJ  | RD: 0.012773mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0.01916mJ | compute util: 0, memory util: 0.64191, Op/B 0, GPU
			up_proj | 10.134us  | 1623.9 - 1634.1 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 10.134us  | 1623.9 - 1634.1 | tensor(16, 4096) -> tensor(16, 14336) | ACT: 0.077258mJ  | RD: 1.6368mJ  | WR: 0.0063867mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7205mJ | compute util: 0.052977, memory util: 0.72794, Op/B 31.84, GPU
			down_proj | 9.9705us  | 1634.1 - 1644 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.070742mJ  | RD: 1.6414mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7139mJ | compute util: 0, memory util: 0, Op/B 31.84
				Linear | 9.9705us  | 1634.1 - 1644 | tensor(16, 14336) -> tensor(16, 4096) | ACT: 0.070742mJ  | RD: 1.6414mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.43218mJ  | Total: 1.7139mJ | compute util: 0.053846, memory util: 0.73987, Op/B 31.84, GPU
		all_reduce | 0us  | 1644 - 1644 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.024576us  | 1644 - 1644.1 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
	decoder_19 | 86.529us  | 1644.1 - 1730.6 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.65948mJ  | RD: 13.624mJ  | WR: 0.025547mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 2.1025mJ  | Total: 14.309mJ | compute util: 0, memory util: 0, Op/B 18.329 | qk=48.309us softmax=0us score_v=0us kv_quant=0us
		input_layer_norm | 0.016896us  | 1644.1 - 1644.1 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		attention | 56.074us  | 1644.1 - 1700.2 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.43423mJ  | RD: 8.6964mJ  | WR: 0.0045619mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.80597mJ  | Total: 9.1352mJ | compute util: 0, memory util: 0, Op/B 10.916 | qk=48.309us softmax=0us score_v=0us kv_quant=0us
			attn_qkv_proj | 4.5915us  | 1644.1 - 1648.7 | tensor(16, 4096) -> tensor(16, 6144) | ACT: 0.039094mJ  | RD: 0.70254mJ  | WR: 0.0027372mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.18522mJ  | Total: 0.74437mJ | compute util: 0, memory util: 0, Op/B 31.793
				Linear | 4.5915us  | 1644.1 - 1648.7 | tensor(16, 4096) -> tensor(16, 6144) | ACT: 0.039094mJ  | RD: 0.70254mJ  | WR: 0.0027372mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.18522mJ  | Total: 0.74437mJ | compute util: 0.050112, memory util: 0.68958, Op/B 31.793, GPU
			self_attention | 47.691us  | 1648.7 - 1696.4 | tensor(16, 6144) -> tensor(16, 4096) | ACT: 0.34673mJ  | RD: 7.5249mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.49727mJ  | Total: 7.8716mJ | compute util: 0, memory util: 0, Op/B 7.7558 | qk=48.309us softmax=0us score_v=0us kv_quant=0us
				AttentionSplit | 0us  | 1648.7 - 1648.7 | tensor(16, 6144) -> tensor(0, 6144) tensor(16, 6144) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
				AttentionSum | 0us  | 1648.7 - 1648.7 | tensor(0, 6144) -> tensor(0, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0, GPU
				AttentionGen | 47.691us  | 1648.7 - 1696.4 | tensor(16, 6144) -> tensor(16, 4096) | ACT: 0.34673mJ  | RD: 7.5249mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.49727mJ  | Total: 7.8716mJ | compute util: 0.012952, memory util: 0.73065, Op/B 7.7558, GPU | qk=48.309us softmax=0us score_v=0us kv_quant=0us
				AttentionMerge | 0us  | 1696.4 - 1696.4 | tensor(0, 4096) tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
			attn_o_proj | 3.791us  | 1696.4 - 1700.2 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.048402mJ  | RD: 0.46897mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.12348mJ  | Total: 0.51919mJ | compute util: 0, memory util: 0, Op/B 31.752
				Linear | 3.791us  | 1696.4 - 1700.2 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.048402mJ  | RD: 0.46897mJ  | WR: 0.0018248mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.12348mJ  | Total: 0.51919mJ | compute util: 0.040462, memory util: 0.55751, Op/B 31.752, GPU
			all_reduce | 0us  | 1700.2 - 1700.2 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		residual_1 | 0.024576us  | 1700.2 - 1700.2 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		post_attn_layer_norm | 0.016896us  | 1700.2 - 1700.2 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		feedforward | 30.373us  | 1700.2 - 1730.6 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.22526mJ  | RD: 4.9278mJ  | WR: 0.020985mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 1.2965mJ  | Total: 5.174mJ | compute util: 0, memory util: 0, Op/B 31.717
